company,effective_date,location,number_of_workers
Invitation Homes,01/16/2019,"8665 E. Hartford Drive Scottsdale, AZ 85255",51
Safeway #1985,01/04/2019,"9705 North Thornydale Road Tucson, AZ 85742",62
Kmart #04996,12/27/2018,"3333 Beverly Road Hoffman Estates, IL 60192",67
Turn-Key Solutions,11/20/2018,"4920 W. Thunderbird Rd. C-120 Glendale, AZ 85306",163
Ulta Beauty,11/13/2018,"4570 W. Lower Buckeye Rd. #150 Phoenix, AZ 85043",196
Southwest Key Programs Inc.,10/31/2018,"6002 Jain Lane Austin, TX 78721",100
Southwest Key Programs Inc.,10/31/2018,"6002 Jain Lane Austin, TX 78721",100
Sears Tempe Call Center,10/01/2018,"8440 S Hardy DriveSuite 100 Tempe, AZ 85284",85
Gannett Satellite Information Network,09/26/2018,"201 E. Washington Street, #1800 Phoenix, AZ 85004",72
G/O Digital,09/20/2018,"200 E. Van Buren street, Phoenix, AZ 85004",89
GenRx Phamacy,09/19/2018,"17250 N. Hartford Drive, suite 115 Scottsdale, AZ 85255",123
Essity North America LLC,09/18/2018,"14005 W. Old Hwy 66 Bellemont, AZ 86015",116
Abrazo Scottsdale Campus,07/13/2018,"3929 E. Bell Road, Phoenix, AZ 85032",49
Marvell Semiconductors Inc.,07/09/2018,"1750 E. Northrop Blvd, #100 Chandler, AZ 85286",2
C & W Services,07/03/2018,"14185 Dallas parkway, suite 1050 Dallas, TX 75254",51
Dream Center Education Holdings,06/29/2018,"2233 West Dunlap Avenue, Phoenix, AZ 85201",162
Albertsons Store 959,06/18/2018,"6363 E. 22nd Street Tucson, AZ 85710",54
Safeway 1636,06/18/2018,"5860 W. thunderbird Avenue Glendale, AZ 85306",61
Safeway 1202,06/18/2018,"3131 E. Thunderbird Road Phoenix, AZ 85022",55
AT&T,06/14/2018,"14601 S. 50th Street Phoenix, AZ 85044",85
Interagency Council,06/13/2018,"1940 Mesquite Avenue Lake havasu City, AZ 86403",15
Hawrhorne Gardening,06/06/2018,"6858 w. chicago street Chandler, AZ 85226",76
TSI corporation,05/29/2018,"1640 Alta Drive, suite 12 Las Vegas, NV 89106",110
UBER,05/29/2018,"1524 W. 14th streetsuite 120 Tempe, AZ 85281",296
Direct Energy,04/30/2018,"12 Greenway Plaza, suite 250 Houston, TX 77046",195
Schletter Inc.,04/25/2018,"1001 Commerce Center Drive Shelby, NC 28150",16
Marriott,04/03/2018,"340 N. 3rd. Street Phoenix, AZ 85004",414
Rockwell Collins,03/26/2018,"1851 S. pantano rd. Tucson, AZ 85710",413
