company,effective_date,location,number_of_workers
Penske,"February 06, 2017","Warren, Detroit, Milford, Pontiac, Lansing, and Grand Blanc, MI",165
IST,"February 03, 2017","Detroit, MI",114
Alamo Drafthouse Cinema,"February 01, 2017","Kalamazoo, MI",109
Inovalon,"January 27, 2017","Lansing, MI",118
Yanfeng,"January 26, 2017","Monroe, MI",321
Android,"January 25, 2017","Detroit, MI",10
"Delta Industrial Valves, Inc.","January 24, 2017","Niles,  MI",56
Sears - Store #6411,"January 18, 2017","Grand Rapids, MI",6
Sears - Store #1140,"January 18, 2017","Grand Rapids, MI",78
Focus: HOPE,"January 09, 2017","Detroit, MI",120
Macy's,"January 05, 2017","Westland, MI",130
Macy's,"January 05, 2017","Harper Woods, MI",141
American Seating,"January 04, 2017","Grand Rapids, MI",80
