company,effective_date,location,number_of_workers
"Huhtamaki, Inc.","04/06/2020, 04/09/2020","Batavia, OH",235
"Scioto Downs, Inc. (Eldorado Scioto Downs)",04/11/2020,"Columbus, OH",420
Morris Furniture Company,03/22/2020,"Various Cities, OH",269
Rayco,04/07/2020,"Wooster, OH",60
Benihana National Corp,03/16/2020,"Cincinnati, OH",34
"Samurai, Inc.",03/16/2020,"Cleveland, OH",29
Benihana Columbus Corp,03/16/2020,"Columbus, OH",37
Bekaert Corporation,03/27/2020,"Orrville, OH",40
"VAM USA, LLC",04/30/2020,"Youngstown, OH",59
Midwest Tape LLC,03/23/2020,"Holland, OH",183
"Americhem, Inc.",04/01/2020,"Cuyahoga Falls, OH",56
Cooper Tire & Rubber Company,04/06/2020,"Findlay, OH",797
Lamrite West,04/06/2020,"Strongsville, OH",45
Superior Auto Group,04/01/2020,"Cincinnati, OH",72
"Cinemark USA, Inc.",03/26/2020,"Various Cities, OH",1303
Rock & Roll Hall of Fame,04/12/2020,"Cleveland, OH",108
"Goodwill Industries of Greater Cleveland & East Central Ohio, Inc.",03/20/2020,"Various Cities, OH",426
Crowne Plaza Columbus Downtown,03/20/2020,"Columbus, OH",103
InterContinental Cleveland Conference Center,04/10/2020,"Cleveland, OH",120
"RTW Retailwinds, Inc.",03/29/2020,"Various Cities, OH",176
YUSA Corporation,03/30/2020,"Washington Court House, OH",350
"Murray American Energy, Inc.",08/10/2020,"Saint Clairsville, OH",22
"American Natural Gas, Inc.",08/10/2020,"Saint Clairsville, OH",9
"American Mine Services, Inc.",08/10/2020,"Clarington, OH",37
American Energy Corporation,08/10/2020,"Beallsville, OH",205
The Ohio Valley Transloading Company,08/10/2020,"Powhatan Point, OH",3
The Ohio Valley Coal Company,08/10/2020,"Alledonia, OH",63
Talbert House,04/03/2020,"Cincinnati, OH",50
"Aramark Educational Services, LLC-John Carroll University",05/15/2020,"University Heights, OH",102
"MountainVision Enterprises, Inc.(The Maids of Cincinnati)",03/23/2020,"Cincinnati, OH",23
Great Lakes Brewing Company,03/31/2020,"Cleveland, OH",116
"Greenville Technology, Inc./Moriroku-North America",03/23/2020,"Greenville, OH",540
ASC Airtex,04/01/2020,"North Canton, OH",88
Busche Performance Group,Unknown,"Edon, OH",75
General Aluminum Mfg. Company-Conneaut,03/23/2020,"Conneaut, OH",198
"Great Lakes Services, LLC",03/16/2020-05/01/2020,"Sandusky, OH",802
Economy Linen,03/20/2020,"Dayton, OH",65
Westin Cleveland Downtown,03/16/2020,"Cleveland, OH",256
Inner Health Chiropractic,03/16/2020,"Columbus, OH",11
Brightside Academy Ohio,03/25/2020,"Cleveland, OH",144
General Aluminum Mfg. Company-Ravenna,03/23/2020,"Ravenna, OH",212
Paper Source,03/29/2020,"Woodmere, OH",10
Paper Source,03/29/2020,"Columbus, OH",13
"Activehours, Inc-Earnin",04/01/2020,"Loveland, OH",6
General Aluminum Mfg. Company-Wapakoneta,03/23/2020,"Wapakoneta, OH",121
"GSW Manufacturing, Inc.",03/30/2020,"Findlay, OH",55
"Consolidated Metal Products, Inc.",03/30/2020,"Cincinnati, OH",52
Ohio Star Forge Company,03/30/2020,"Warren, OH",88
Beacon Orthopaedics & Sports Medicine,03/28/2020,"Sharonville, OH",226
"America's Auto Auction Toledo, Inc.",03/23/2020,"Perrysburg, OH",127
"Walsh Commercial Group, LLC",03/24/2020,"Cleveland, OH",55
"Bermex, Inc.",03/28/2020,"Columbus, OH",45
Manley Deas,03/27/2020,"Columbus, OH",172
"S.A. Comunale Co., Inc.",03/23/2020,"Barberton, OH",3
"Crescent Metal Products, Inc.",03/27/2020,"Mentor, OH",92
"Dedicated Logistics, Inc.",05/31/2020,"Hamilton, OH",116
NOMS Healthcare,03/19/2020,"Sandusky, OH",412
Jakprints,03/17/2020,"Cleveland, OH",56
"Soundwich, Inc.",03/19/2020,"Cleveland, OH",93
"Prestige Maintenance USA, LP",03/19/2020,"Various Cities, OH",106
"Pappas Restaurants, Inc.",03/21/2020,"Springdale, OH",166
"Augusta Sportswear, Inc.",03/23/2020,"Sidney, OH",200
"Mark Porter Auto Group-Porter CDJR, Inc.",03/25/2020,"Pomeroy, OH",29
"Mark Porter Auto Group-Mark Porter Autoplex, Inc.",03/25/2020,"Pomeroy, OH",5833
"Mark Porter Auto Group-Porter Jackson, Inc.",03/25/2020,"Jackson, OH",41
International Automotive Components,08/21/2020-10/31/2020,"Huron, OH",234
Driven Brands Shared Services (Take 5 Oil Change),03/22/2020,"Various Cities, OH",198
Taiho Corporation of America,03/23/2020,"Tiffin, OH",229
Ricart Automotive Personnel,03/24/2020,"Columbus, OH",121
Kleeberger Contracting Services,03/23/2020,"Liberty Center, OH",5
"Brentwood Originals, Inc.",03/23/2020-03/31/2020,"Youngstown, OH",198
Things Remembered Fulfillment Center,03/24/2020,"North Jackson, OH",158
Hilton Garden Inn-Toledo/Perrysburg,03/20/2020-06/30/2020,"Perrysburg, OH",112
"Ultimate Home Services, LLC",03/24/2020,"Various Cities, OH",62
Ross Casting & Innovation,03/24/2020,"Sidney, OH",167
Wright Tool,03/23/2020,"Barberton, OH",140
Gissing North America,03/23/2020,"Sidney, OH",120
Renaissance Cleveland Hotel,03/23/2020-04/08/2020,"Cleveland, OH",143
Spire Hospitality,07/01/2020,"Blue Ash, OH",79
"JACK Ohio Finance, LLC (JACK Entertainment)",03/31/2020,"Cleveland, OH",1561
Embassy Suites Cleveland Rockside,03/19/2020-03/31/2020,"Independence, OH",72
Norcold Incorporated,03/23/2020,"Sidney, OH",345
Matsu Ohio,03/23/2020-04/17/2020,"Edgerton, OH",175
US Steel Seamless Tubular Operations (Lorain Tubular),05/24/2020,"Lorain, OH",250
Roush Auto Group,03/20/2020,"Columbus, OH",200
Murotech Ohio Corporation,03/20/2020,"Saint Marys, OH",52
Chilgo LLC,03/16/2020,"Various Cities, OH",331
"Calimira, LLC (Rusty Bucket Restaurant & Tavern)",03/15/2020,"Various Cities, OH",910
Cameron Mitchell,03/15/2020,"Various Cities, OH",1390
Ventra Salem LLC,03/20/2020,"Salem, OH",794
Kirchhoff Automotive Waverly,03/19/2020,"Waverly, OH",225
AEP - Conesville,05/31/2020,"Conesville, OH",83
Strang Corporation,03/16/2020,"Cleveland, OH",105
"Ultra Premium
Services, LLC",04/17/2020,"Brookfield, OH",121
Embassy Suites Dublin,03/19/2020-04/15/2020,"Dublin, Frankli, OH",97
"Punch Bowl Cleveland
LLC",03/16/2020,"Cleveland, OH",102
Totally Promotional,03/17/2020-06/15/2020,"Coldwater, OH",150
Firebirds Wood Fired Grill,03/15/2020,"Various, OH",410
Columbus McKinnon Corporation,05/05/2020-11/01/2020,"Lisbon, OH",69
"QIC Properties US, Inc.",04/30/2020,"Cleveland, OH",56
Verizon,04/07/2020-07/10/2020,"Hilliard, OH",496
Pier 1 Distribution and Fulfillment Center,04/10/2020,"Groveport, OH",75
Worthington Industries,02/11/2020-05/31/2020,"Wooster, OH",120
Miami University,07/01/2020,"Oxford, OH",39
Bear Down Logistics,04/02/2020,"Fairfield, OH",105
JCPenney Store 1071,07/17/2020-07/31/2020,"Akron, OH",66
"Vantage Partners, LLC",03/31/2020,"Brook Park, OH",216
U.S. Bank Lunken Operations Center,04/06/2020,"Cincinnati, OH",65
Macy's Lorain,04/05/2020-10/07/2020,"Lorain, OH",161
Lamrite West (The Michaels Companies),02/04/2020,"Strongsville, OH",77
"Fiserv, Inc.",03/31/2020-05/29/2020,"Dublin, OH",102
"Brighton Tru-Edge Heads & Fabricated Products, Inc.",04/28/2020-05/11/2020,"Cincinnati, OH",71
"EMCOR Facilities Services, Inc.",03/31/2020,"Cincinnati, OH",59
Altercare Adena,03/23/2020,"Adena, OH",38
AMETEK Westchester Plastics,03/31/2020-06/30/2020,"Wapakoneta, OH",78
Jacobson Warehouse Company (XPO Logistics Supply Chain),03/20/2020,"West Jefferson, OH",185
Newark Corporation,03/06/2020,"Richfield, OH",71
Macy's Northgate Mall,03/17/2020-03/30/2020,"Cincinnati, OH",139
Gannett,03/06/2020,"Columbus, OH",186
